features,scores
[tl^3]*1/[(tg-tl)^2],0.0008255890481213481
[(tl+tx)^4]*1/tg,0.0008245289270529311
[(tg-tl)^2]*[(tl-tx)^4],0.0008237053325558602
1/[tl^3]*1/[(tg-tl)^2],0.0008196368248897973
[(tg-tx)^4]*1/[tx^2],0.0008175103325896208
1/[(tg-tl)^2]*1/[(tl+tx)^2],0.0008154401781347375
1/[tl^4]*1/[(tg-tx)^3],0.0008136856306591857
[(tg+tl)^4]*1/(tg-tx),0.0008109151614002812
[tl^2]*[(tl+tx)^3],0.0008095576589038495
[tl^3]*1/[(tl+tx)^3],0.0008060916713653617
(tl+tx)*1/tl,0.000794623399835537
(tg-tx)*1/[(tl-tx)^3],0.0007863516574257462
1/(tl-tx)*1/[(tl+tx)^3],0.0007828609952083962
[tx^2]*1/tg,0.0007827731988651754
[tl^3]*1/[tl^4],0.0007806877593265643
[tl^3]*[(tg+tl)^4],0.0007778993988146832
[(tg-tl)^2]*1/[tl^2],0.0007775703565433968
(tg-tl)*[tg^4],0.0007670937674362401
[(tg-tl)^2]*1/[tx^4],0.0007652743422079476
1/[(tg+tl)^2]*1/[(tl-tx)^4],0.0007605811733147193
[tx^3]*[(tl-tx)^2],0.0007578459924873355
[tl^4]*1/[(tg-tl)^2],0.0007511151848945648
1/(tl-tx),0.0007447641113406772
[tl^4]*1/[(tg-tl)^3],0.0007438067807050022
[(tg-tl)^3]*1/[(tl+tx)^2],0.0007389562126575743
(tg-tl)*(tg-tx),0.0007347089519419345
[tl^2]*1/tx,0.0007332046650966894
[(tg+tx)^3]*1/[(tg-tx)^4],0.0007302880364704861
1/(tg+tx)*1/[tg^2],0.000725226870736266
[tl^4]*1/[tl^3],0.0007234990140829538
1/[(tg-tx)^3]*1/[(tl-tx)^3],0.0007234787549771267
1/[tg^2]*1/[tg^4],0.0007204896458920664
[(tl+tx)^4]*1/[tg^4],0.0007185685865130548
tl*1/[(tg-tl)^4],0.0007142883088198985
tg*tl,0.0007136850802657556
(tg+tl)*[(tg-tx)^4],0.000710647208324098
(tl-tx)*1/[(tg-tl)^3],0.0007064918908800828
[(tg+tx)^4]*1/[(tg-tx)^2],0.0007048759535494819
1/[(tg+tl)^4]*1/[(tg-tx)^4],0.0006988948628812549
tl*1/(tl-tx),0.0006958590114764196
[tl^4]*1/[tx^2],0.0006957672335036646
[(tl-tx)^4]*1/(tl-tx),0.0006933735074791305
1/[tg^3]*1/[(tl+tx)^4],0.0006924068438726406
[tl^3]*1/[(tg-tx)^2],0.0006905111308016957
tx*1/[(tl-tx)^2],0.00067994189268578
1/(tg+tx)*1/[(tg+tl)^3],0.0006768276193273543
[(tg-tl)^4]*1/[tx^2],0.0006715211938692274
tg*1/[(tg+tl)^2],0.0006710068908485037
1/(tl-tx)*1/[(tl-tx)^3],0.0006572209791274454
(tl-tx)*1/[(tg+tx)^4],0.0006532405411583025
[(tg-tl)^4]*1/[(tg+tx)^3],0.0006459912539212874
[tl^2]*1/[(tg+tl)^4],0.0006453830627377827
[tx^4]*[(tg-tl)^3],0.0006397080422803312
[tg^3]*[(tl+tx)^2],0.0006375562102299241
[tl^4]*1/(tg-tl),0.0006336753810901952
[tl^3]*1/[tx^4],0.0006331083371812676
(tg-tx)*[(tg-tl)^4],0.0006327382923219726
(tg-tl)*1/[(tg+tl)^4],0.000632038044282121
[tg^3]*1/[(tg+tl)^4],0.0006318287466984972
[tg^4]*1/[(tg-tx)^2],0.0006303469563345903
(tg-tl)*1/[tl^2],0.0006295010899931629
[(tg-tx)^3]*1/(tg+tl),0.0006266199816990557
tl*1/[(tl+tx)^2],0.0006219922247440722
(tg-tx)*1/[(tg-tl)^2],0.0006198681009250386
[(tg-tx)^3]*1/[(tg+tl)^3],0.0006190936142207365
(tl-tx)*1/[(tg-tx)^4],0.0006178977281119615
1/[(tl-tx)^4],0.0006146458374375865
[tl^2]*[(tg-tx)^4],0.000612922169813113
[tx^2]*1/tx,0.0006101757863691521
1/(tl-tx)*1/[tl^2],0.0006097388326884154
[(tl+tx)^3]*1/(tg+tl),0.0006047928923676267
1/[tx^4]*1/[(tl-tx)^3],0.0006040729140269818
[(tg+tl)^2]*[(tg-tl)^2],0.0006029803206653592
[(tg+tl)^4]*1/[tx^4],0.0006000287221010601
[(tg-tl)^2]*1/[tg^4],0.0005982112309541949
[(tg+tx)^4]*1/[(tg+tx)^3],0.0005978271656696611
[tg^4]*1/[(tg-tx)^3],0.0005964275496793042
1/[(tg+tl)^3]*1/[(tl-tx)^3],0.0005955891358852835
[(tg-tx)^3]*[(tl+tx)^2],0.000585274053874706
[(tg-tx)^4]*1/[tg^2],0.0005811031341143555
[(tg-tx)^3]*[(tl+tx)^4],0.0005770908677858646
[(tg+tx)^3]*[(tg-tx)^3],0.000574260090504266
[(tl-tx)^2]*1/(tg+tl),0.0005709057292413523
[(tl+tx)^4]*1/(tl-tx),0.0005704593155916858
[(tl-tx)^2]*[(tl-tx)^4],0.000569269645655149
1/(tg-tl)*1/(tl+tx),0.0005685122700974285
1/[(tg-tl)^4]*1/[(tl-tx)^2],0.0005673205682423862
[tx^4]*1/[(tl+tx)^3],0.0005642962279162533
[tg^3]*1/[tg^4],0.0005597461791388562
[(tl-tx)^4]*1/[(tg-tl)^4],0.0005584682346420423
[(tg-tl)^3]*1/[(tg+tx)^3],0.0005577076124932215
[tl^4]*[(tg-tl)^2],0.0005539450002470939
[tl^2]*1/[(tl+tx)^3],0.0005529821160873702
[tg^3]*[(tg-tx)^2],0.0005468286004658725
[tg^4]*1/[(tl-tx)^2],0.0005451831633616392
[(tg-tl)^3]*1/[(tg-tx)^4],0.0005428566964559012
[(tg+tl)^3]*1/tx,0.0005406624770853912
(tg-tl)*1/[tl^3],0.0005395209340170735
(tg+tl)*[(tg-tx)^2],0.0005358809176945165
[(tl-tx)^2]*1/[(tg-tx)^2],0.0005247371543447319
[(tg-tl)^4]*1/tg,0.0005231376788905063
[(tl-tx)^3]*1/[(tg-tl)^2],0.0005224932393165687
[tx^2]*1/[(tg+tl)^2],0.0005220732448678308
1/(tl+tx)*1/[(tg+tx)^2],0.0005210291650348869
[tl^4]*1/[(tg+tl)^3],0.0005193796485989411
[(tl-tx)^2]*1/[(tg+tl)^4],0.0005192671027298723
[(tg+tl)^2]*[(tl+tx)^2],0.0005191648634231138
[tx^3]*1/(tg+tl),0.0005191031240179047
tx*1/[(tg+tx)^2],0.0005144578785444988
(tg-tx)*1/[tl^3],0.0005140458863197819
(tg+tx)*1/[(tl+tx)^3],0.0005135208187927227
[(tg-tx)^2]*1/[tg^4],0.0005095717802560166
1/(tg-tx)*1/[(tg+tx)^4],0.0005093257813752997
1/tl*1/(tl+tx),0.0005085130466270554
tx*1/[(tg+tl)^2],0.0005070069385503249
1/[tx^4]*1/[(tl+tx)^3],0.0005043865580528989
[tl^4]*1/(tl+tx),0.0005042492499569244
1/tx*1/[tl^4],0.0005040116982519969
[tg^2]*[(tg-tx)^3],0.0004989441113180503
[tl^2]*1/(tl-tx),0.0004962382768002177
[(tg+tl)^2]*1/(tl+tx),0.0004961354538289675
[tx^2]*1/[tx^3],0.0004950196559770545
[(tg+tl)^4]*1/[tg^3],0.0004945517531428825
[tg^3]*[(tl-tx)^3],0.0004929328537799242
[tx^2]*[tx^4],0.0004915370756157662
[(tg+tx)^2]*[(tl+tx)^4],0.0004896511233362742
[(tg-tx)^2]*1/tx,0.0004848872093561172
[tl^2]*1/[(tg+tx)^3],0.00048446573075520326
[tg^3]*1/(tg+tl),0.0004838469709889849
[tx^4]*1/(tl-tx),0.00048171228864359874
[(tg-tx)^3]*1/[(tl+tx)^2],0.0004744705372255388
[(tg-tl)^4]*[(tl-tx)^2],0.0004719684870648604
[(tl-tx)^2]*1/[(tg+tx)^2],0.00047102808600525204
1/(tg-tl)*1/[(tg-tl)^2],0.0004664899615453524
tl*(tg+tl),0.0004646935937112536
[tx^3]*1/[(tg+tl)^3],0.0004635084113405685
tx*[(tg-tl)^2],0.0004600190947660051
[(tg+tx)^3]*1/[(tg+tl)^4],0.00045843215750031194
(tg+tl)*1/[(tl-tx)^3],0.000457592524998355
1/(tl+tx)*1/[tx^2],0.00045707773859323856
[(tl+tx)^4]*1/tx,0.0004541243562893721
tg*[(tl-tx)^2],0.0004531535689944187
(tg+tx)*1/[(tg+tl)^3],0.0004530671068995519
[(tg-tx)^4]*1/[(tg-tl)^3],0.00045211413751308945
(tl+tx)*1/[tl^4],0.00045021324764617216
[(tg-tl)^2]*[(tg-tx)^3],0.00044709136580490437
[(tg+tl)^4]*[(tg+tx)^2],0.0004449332685177255
[tg^4]*[(tg-tl)^2],0.00044280576180190346
[(tg-tl)^4]*1/[(tg+tl)^2],0.00044241023920102467
[(tg+tx)^3]*[(tg-tx)^2],0.00044198011833417543
[tx^4]*[(tl-tx)^2],0.0004366479430716157
1/(tl-tx)*1/[(tg+tx)^3],0.00043311754163153076
1/[tl^2]*1/[(tl+tx)^3],0.00043305101866125554
1/[(tg-tl)^3]*1/[(tl-tx)^2],0.0004322743357835307
[(tg-tx)^3]*1/(tl-tx),0.0004321601154033007
tx*1/[(tl+tx)^4],0.0004295691639854815
1/(tl-tx)*1/[(tg-tx)^3],0.00042929682259554573
[(tg-tx)^3]*1/[(tl-tx)^4],0.00042889215727741776
1/(tg+tl)*1/[tl^3],0.0004256036403387766
[(tl-tx)^2]*1/(tg+tx),0.0004251477688278734
[tg^2]*[tx^2],0.0004225818366031056
[(tg+tx)^4]*1/[tl^4],0.000421436179342333
1/(tg+tl)*1/[(tl-tx)^4],0.00041785133080755166
(tg+tx)*[(tl-tx)^2],0.0004170698745122773
1/[(tg-tx)^2]*1/[(tl+tx)^3],0.00041410228745007233
[(tg+tl)^3]*[(tg-tx)^3],0.00041380356699995493
1/(tl-tx)*1/[(tg+tl)^2],0.0004134344922070392
1/[tg^4]*1/[tl^4],0.00041187571559990845
tx*1/[(tg-tx)^4],0.00041038612098496526
[(tl-tx)^2]*1/[(tg+tx)^4],0.00041030382847460917
tg,0.00040984713254275403
[tg^3]*1/[(tg-tl)^2],0.0004096028172374944
tl*[tx^3],0.0004094627057209204
1/(tg+tl)*1/[(tg-tx)^3],0.0004040110226514363
1/tx*1/[(tl+tx)^4],0.0004040074081409367
[(tg-tx)^4]*1/[(tg-tl)^2],0.00040339733652136855
(tg+tl)*1/tx,0.0004022561547568025
[tl^2]*1/[tx^4],0.00039737457192430667
tl*[(tg+tx)^3],0.0003947394454712715
[tx^2]*1/(tg-tl),0.00038793374245227785
1/[(tg-tx)^3]*1/[(tl-tx)^4],0.0003858869936746068
(tl-tx)*[tg^2],0.0003858089236086519
[tx^2]*[(tg-tx)^2],0.0003854988078198513
(tl-tx)*[tx^4],0.0003849617681141767
tl*1/[(tg+tx)^2],0.0003841615933912263
[tx^3]*1/[(tl+tx)^2],0.0003827330864381538
[(tl-tx)^3]*1/[(tg+tx)^3],0.00038192219239457063
1/(tl+tx)*1/[(tg+tl)^4],0.00038099699645364804
[(tl+tx)^2]*[(tl-tx)^2],0.00038062525260992874
tg*1/[tl^3],0.0003797137942656113
tg*[(tg+tx)^2],0.00037771308457796747
[(tg+tx)^2]*1/[tl^2],0.0003713053465736075
[tl^3]*[tx^2],0.00037091795847720474
(tg+tx),0.00036835598053612474
[(tg+tx)^2]*1/[tx^2],0.0003682483983052714
[(tl+tx)^2]*1/[(tg+tx)^2],0.00036469115050765733
(tl-tx)*[(tg+tl)^2],0.0003644011569677802
[(tl-tx)^4],0.0003636924578396872
[tg^4]*1/[tl^3],0.0003610234466799308
1/(tg+tl)*1/[(tg+tl)^2],0.0003607382486179171
(tl-tx)*[(tg+tl)^3],0.0003603236658996325
[tl^2]*[tl^3],0.0003562138171374875
[tl^3]*1/[tg^2],0.0003535394288670425
[(tg+tl)^2]*1/(tg+tx),0.0003490557533090768
[(tg+tx)^3]*[(tg-tx)^4],0.00034337884511006757
[tg^3]*1/[tl^3],0.00034232170113915843
1/(tl+tx)*1/[(tg-tx)^3],0.0003372961194300587
(tg+tx)*[tl^3],0.0003352940870132858
[tx^4]*1/(tg+tl),0.00033231843071764554
[(tg+tl)^2]*1/[(tg-tl)^3],0.0003313470352851191
1/[tl^3]*1/[(tg-tx)^2],0.00032933933664381075
(tl+tx)*1/[(tg-tx)^3],0.00032368515777436035
1/[tx^3]*1/[(tg+tx)^4],0.00032312658211203996
1/(tg+tx)*1/[(tl+tx)^3],0.00032307534052691453
[tg^2]*[(tg+tx)^4],0.0003230236423132242
[tx^4]*1/[(tg-tx)^2],0.0003227638067644438
1/[tx^2]*1/[(tg-tl)^3],0.0003215184161798823
1/[(tg-tx)^4]*1/[(tl-tx)^2],0.0003205819430020095
1/tg*1/[(tg+tl)^2],0.00031920082350970195
(tg+tl)*1/[tg^3],0.00031849434630326737
tl*[(tl-tx)^4],0.0003172998299130742
[(tg+tx)^2]*1/[(tg+tx)^3],0.00031174277345500273
[tg^2],0.00031050311704843616
[tg^2]*1/[(tg-tx)^4],0.0003089689639526427
[(tl-tx)^3]*1/[(tg+tx)^2],0.00030885873788614733
[tx^2]*1/(tg+tl),0.000307581338329821
tl*(tg-tx),0.00030732828894360943
[tg^2]*1/(tg+tx),0.00030646500461710673
(tl+tx)*1/[(tg+tx)^3],0.0003046315111946886
[(tg+tl)^2]*1/[(tg-tx)^3],0.00030455813545129647
[(tg-tx)^4]*1/[(tg+tl)^4],0.00030250869694733366
(tg+tl)*1/[tl^2],0.00030169539166082323
tl*[tl^4],0.00030113881403000156
[(tg-tl)^3]*1/(tl-tx),0.0003010093785287195
1/[tx^3]*1/[(tg-tl)^3],0.0003005977169013317
(tg-tx)*1/(tl-tx),0.0002992753520223211
(tg+tl)*1/[tx^2],0.0002988420816586887
[(tg+tl)^2]*[(tl-tx)^4],0.000297377000644706
1/(tg+tl)*1/(tl+tx),0.00029332577165602265
[(tg+tl)^3]*1/[(tl-tx)^4],0.0002917614387960139
1/[tg^2]*1/[tg^3],0.0002910618939228628
1/(tg-tx)*1/[(tl+tx)^2],0.0002906595303168226
1/(tg-tl)*1/[tx^2],0.0002896036289824793
(tg-tx)*1/[(tl-tx)^2],0.0002892222031530777
[(tg-tx)^2]*1/[tl^3],0.00028468525911962464
(tg-tx)*1/[(tg+tx)^2],0.0002823963699778397
[(tg-tx)^4]*1/[(tg+tl)^3],0.0002788584257950955
[tx^2]*1/[(tl+tx)^3],0.0002786406313382525
(tg-tl)*1/[(tl-tx)^2],0.00027679738006568445
[(tg-tx)^4]*[(tl+tx)^3],0.00027554041005109254
[(tg-tx)^2]*1/[tx^4],0.000275084056096908
[(tg-tx)^4]*1/(tl+tx),0.00027214441571127507
1/[tx^4]*1/[(tl-tx)^4],0.00027133299273206934
